,Mon-YY,Value,Year
0,Jan-90,18.5,1990
1,Feb-90,18.5,1990
2,Mar-90,18.5,1990
3,Apr-90,18.5,1990
4,May-90,18.5,1990
5,Jun-90,18.5,1990
6,Jul-90,18.5,1990
7,Aug-90,18.5,1990
8,Sep-90,18.5,1990
9,Oct-90,18.5,1990
10,Nov-90,18.5,1990
11,Dec-90,18.5,1990
12,Jan-91,18.5,1991
13,Feb-91,15.5,1991
14,Mar-91,15.5,1991
15,Apr-91,15.5,1991
16,May-91,15.5,1991
17,Jun-91,15.5,1991
18,Jul-91,15.5,1991
19,Aug-91,15.5,1991
20,Sep-91,15.5,1991
21,Oct-91,15.5,1991
22,Nov-91,15.5,1991
23,Dec-91,15.5,1991
24,Jan-92,15.5,1992
25,Feb-92,17.5,1992
26,Mar-92,17.5,1992
27,Apr-92,17.5,1992
28,May-92,17.5,1992
29,Jun-92,17.5,1992
30,Jul-92,17.5,1992
31,Aug-92,17.5,1992
32,Sep-92,17.5,1992
33,Oct-92,17.5,1992
34,Nov-92,17.5,1992
35,Dec-92,17.5,1992
36,Jan-93,17.5,1993
37,Feb-93,17.5,1993
38,Mar-93,23.0,1993
39,Apr-93,23.0,1993
40,May-93,23.0,1993
41,Jun-93,26.0,1993
42,Jul-93,26.0,1993
43,Aug-93,26.0,1993
44,Sep-93,26.0,1993
45,Oct-93,26.0,1993
46,Nov-93,26.0,1993
47,Dec-93,26.0,1993
48,Jan-94,26.0,1994
49,Feb-94,13.5,1994
50,Mar-94,13.5,1994
51,Apr-94,13.5,1994
52,May-94,13.5,1994
53,Jun-94,13.5,1994
54,Jul-94,13.5,1994
55,Aug-94,13.5,1994
56,Sep-94,13.5,1994
57,Oct-94,13.5,1994
58,Nov-94,13.5,1994
59,Dec-94,13.5,1994
60,Jan-95,13.5,1995
61,Feb-95,13.5,1995
62,Mar-95,13.5,1995
63,Apr-95,13.5,1995
64,May-95,13.5,1995
65,Jun-95,13.5,1995
66,Jul-95,13.5,1995
67,Aug-95,13.5,1995
68,Sep-95,13.5,1995
69,Oct-95,13.5,1995
70,Nov-95,13.5,1995
71,Dec-95,13.5,1995
72,Jan-96,13.5,1996
73,Feb-96,13.5,1996
74,Mar-96,13.5,1996
75,Apr-96,13.5,1996
76,May-96,13.5,1996
77,Jun-96,13.5,1996
78,Jul-96,13.5,1996
79,Aug-96,13.5,1996
80,Sep-96,13.5,1996
81,Oct-96,13.5,1996
82,Nov-96,13.5,1996
83,Dec-96,13.5,1996
84,Jan-97,13.5,1997
85,Feb-97,13.5,1997
86,Mar-97,13.5,1997
87,Apr-97,13.5,1997
88,May-97,13.5,1997
89,Jun-97,13.5,1997
90,Jul-97,13.5,1997
91,Aug-97,13.5,1997
92,Sep-97,13.5,1997
93,Oct-97,13.5,1997
94,Nov-97,13.5,1997
95,Dec-97,13.5,1997
96,Jan-98,13.5,1998
97,Feb-98,13.5,1998
98,Mar-98,13.5,1998
99,Apr-98,13.5,1998
100,May-98,13.5,1998
101,Jun-98,13.5,1998
102,Jul-98,13.5,1998
103,Aug-98,13.5,1998
104,Sep-98,13.5,1998
105,Oct-98,13.5,1998
106,Nov-98,13.5,1998
107,Dec-98,13.5,1998
108,Jan-99,13.5,1999
109,Feb-99,14.75,1999
110,Mar-99,16.0,1999
111,Apr-99,19.0,1999
112,May-99,19.0,1999
113,Jun-99,20.0,1999
114,Jul-99,20.0,1999
115,Aug-99,20.0,1999
116,Sep-99,20.0,1999
117,Oct-99,20.0,1999
118,Nov-99,20.0,1999
119,Dec-99,18.0,1999
120,Jan-00,18.0,2000
121,Feb-00,18.0,2000
122,Mar-00,18.0,2000
123,Apr-00,18.0,2000
124,May-00,18.0,2000
125,Jun-00,17.0,2000
126,Jul-00,17.0,2000
127,Aug-00,17.0,2000
128,Sep-00,16.0,2000
129,Oct-00,16.0,2000
130,Nov-00,16.0,2000
131,Dec-00,15.0,2000
132,Jan-01,14.0,2001
133,Feb-01,15.5,2001
134,Mar-01,15.5,2001
135,Apr-01,16.5,2001
136,May-01,16.5,2001
137,Jun-01,16.5,2001
138,Jul-01,16.5,2001
139,Aug-01,18.5,2001
140,Sep-01,18.5,2001
141,Oct-01,20.5,2001
142,Nov-01,20.5,2001
143,Dec-01,20.5,2001
144,Jan-02,20.5,2002
145,Feb-02,20.5,2002
146,Mar-02,20.5,2002
147,Apr-02,20.5,2002
148,May-02,20.5,2002
149,Jun-02,20.5,2002
150,Jul-02,18.5,2002
151,Aug-02,18.5,2002
152,Sep-02,18.5,2002
153,Oct-02,18.5,2002
154,Nov-02,18.5,2002
155,Dec-02,16.5,2002
156,Jan-03,16.5,2003
157,Feb-03,16.5,2003
158,Mar-03,16.5,2003
159,Apr-03,16.5,2003
160,May-03,16.5,2003
161,Jun-03,16.5,2003
162,Jul-03,16.5,2003
163,Aug-03,15.0,2003
164,Sep-03,15.0,2003
165,Oct-03,15.0,2003
166,Nov-03,15.0,2003
167,Dec-03,15.0,2003
168,Jan-04,15.0,2004
169,Feb-04,15.0,2004
170,Mar-04,15.0,2004
171,Apr-04,15.0,2004
172,May-04,15.0,2004
173,Jun-04,15.0,2004
174,Jul-04,15.0,2004
175,Aug-04,15.0,2004
176,Sep-04,15.0,2004
177,Oct-04,15.0,2004
178,Nov-04,15.0,2004
179,Dec-04,15.0,2004
180,Jan-05,15.0,2005
181,Feb-05,13.0,2005
182,Mar-05,13.0,2005
183,Apr-05,13.0,2005
184,May-05,13.0,2005
185,Jun-05,13.0,2005
186,Jul-05,13.0,2005
187,Aug-05,13.0,2005
188,Sep-05,13.0,2005
189,Oct-05,13.0,2005
190,Nov-05,13.0,2005
191,Dec-05,13.0,2005
192,Jan-06,13.0,2006
193,Feb-06,13.0,2006
194,Mar-06,13.0,2006
195,Apr-06,13.0,2006
196,May-06,13.0,2006
197,Jun-06,14.0,2006
198,Jul-06,14.0,2006
199,Aug-06,14.0,2006
200,Sep-06,14.0,2006
201,Oct-06,14.0,2006
202,Nov-06,14.0,2006
203,Dec-06,10.0,2006
204,Jan-07,10.0,2007
205,Feb-07,10.0,2007
206,Mar-07,10.0,2007
207,Apr-07,10.0,2007
208,May-07,10.0,2007
209,Jun-07,8.0,2007
210,Jul-07,8.0,2007
211,Aug-07,8.0,2007
212,Sep-07,8.0,2007
213,Oct-07,9.0,2007
214,Nov-07,9.0,2007
215,Dec-07,9.5,2007
216,Jan-08,9.5,2008
217,Feb-08,9.5,2008
218,Mar-08,9.5,2008
219,Apr-08,10.0,2008
220,May-08,10.0,2008
221,Jun-08,10.25,2008
222,Jul-08,10.25,2008
223,Aug-08,10.25,2008
224,Sep-08,9.75,2008
225,Oct-08,9.75,2008
226,Nov-08,9.75,2008
227,Dec-08,9.75,2008
228,Jan-09,9.75,2009
229,Feb-09,9.75,2009
230,Mar-09,9.75,2009
231,Apr-09,8.0,2009
232,May-09,8.0,2009
233,Jun-09,8.0,2009
234,Jul-09,6.0,2009
235,Aug-09,6.0,2009
236,Sep-09,6.0,2009
237,Oct-09,6.0,2009
238,Nov-09,6.0,2009
239,Dec-09,6.0,2009
240,Jan-10,6.0,2010
241,Feb-10,6.0,2010
242,Mar-10,6.0,2010
243,Apr-10,6.0,2010
244,May-10,6.0,2010
245,Jun-10,6.0,2010
246,Jul-10,6.0,2010
247,Aug-10,6.0,2010
248,Sep-10,6.25,2010
249,Oct-10,6.25,2010
250,Nov-10,6.25,2010
251,Dec-10,6.25,2010
252,Jan-11,6.5,2011
253,Feb-11,6.5,2011
254,Mar-11,7.5,2011
255,Apr-11,7.5,2011
256,May-11,8.0,2011
257,Jun-11,8.0,2011
258,Jul-11,8.75,2011
259,Aug-11,8.75,2011
260,Sep-11,9.25,2011
261,Oct-11,12.0,2011
262,Nov-11,12.0,2011
263,Dec-11,12.0,2011
264,Jan-12,12.0,2012
265,Feb-12,12.0,2012
266,Mar-12,12.0,2012
267,Apr-12,12.0,2012
268,May-12,12.0,2012
269,Jun-12,12.0,2012
270,Jul-12,12.0,2012
271,Aug-12,12.0,2012
272,Sep-12,12.0,2012
273,Oct-12,12.0,2012
274,Nov-12,12.0,2012
275,Dec-12,12.0,2012
276,Jan-13,12.0,2013
277,Feb-13,12.0,2013
278,Mar-13,12.0,2013
279,Apr-13,12.0,2013
280,May-13,12.0,2013
281,Jun-13,12.0,2013
282,Jul-13,12.0,2013
283,Aug-13,12.0,2013
284,Sep-13,12.0,2013
285,Oct-13,12.0,2013
286,Nov-13,12.0,2013
287,Dec-13,12.0,2013
288,Jan-14,12.0,2014
289,Feb-14,12.0,2014
290,Mar-14,12.0,2014
291,Apr-14,12.0,2014
292,May-14,12.0,2014
293,Jun-14,12.0,2014
294,Jul-14,12.0,2014
295,Aug-14,12.0,2014
296,Sep-14,12.0,2014
297,Oct-14,12.0,2014
298,Nov-14,13.0,2014
299,Dec-14,13.0,2014
300,Jan-15,13.0,2015
301,Feb-15,13.0,2015
302,Mar-15,13.0,2015
303,Apr-15,13.0,2015
304,May-15,13.0,2015
305,Jun-15,13.0,2015
306,Jul-15,13.0,2015
307,Aug-15,13.0,2015
308,Sep-15,13.0,2015
309,Oct-15,13.0,2015
310,Nov-15,11.0,2015
311,Dec-15,11.0,2015
312,Jan-16,11.0,2016
313,Feb-16,11.0,2016
314,Mar-16,12.0,2016
315,Apr-16,12.0,2016
316,May-16,12.0,2016
317,Jun-16,12.0,2016
318,Jul-16,14.0,2016
319,Aug-16,14.0,2016
320,Sep-16,14.0,2016
321,Oct-16,14.0,2016
322,Nov-16,14.0,2016
323,Dec-16,14.0,2016
324,Jan-17,14.0,2017
325,Feb-17,14.0,2017
326,Mar-17,14.0,2017
327,Apr-17,14.0,2017
328,May-17,14.0,2017
329,Jun-17,14.0,2017
330,Jul-17,14.0,2017
331,Aug-17,14.0,2017
332,Sep-17,14.0,2017
333,Oct-17,14.0,2017
334,Nov-17,14.0,2017
335,Dec-17,14.0,2017
336,Jan-18,14.0,2018
337,Feb-18,14.0,2018
338,Mar-18,14.0,2018
339,Apr-18,14.0,2018
340,May-18,14.0,2018
341,Jun-18,14.0,2018
342,Jul-18,14.0,2018
343,Aug-18,14.0,2018
344,Sep-18,14.0,2018
345,Oct-18,14.0,2018
346,Nov-18,14.0,2018
347,Dec-18,14.0,2018
348,Jan-19,14.0,2019
349,Feb-19,14.0,2019
350,Mar-19,13.5,2019
351,Apr-19,13.5,2019
352,May-19,13.5,2019
353,Jun-19,13.5,2019
354,Jul-19,13.5,2019
355,Aug-19,13.5,2019
356,Sep-19,13.5,2019
357,Oct-19,13.5,2019
358,Nov-19,13.5,2019
359,Dec-19,13.5,2019
360,Jan-20,13.5,2020
361,Feb-20,13.5,2020
362,Mar-20,13.5,2020
363,Apr-20,13.5,2020
364,May-20,12.5,2020
365,Jun-20,12.5,2020
366,Jul-20,12.5,2020
367,Aug-20,12.5,2020
368,Sep-20,11.5,2020
369,Oct-20,11.5,2020
370,Nov-20,11.5,2020
371,Dec-20,11.5,2020
372,Jan-21,11.5,2021
373,Feb-21,11.5,2021
374,Mar-21,11.5,2021
375,Apr-21,11.5,2021
376,May-21,11.5,2021
377,Jun-21,11.5,2021
378,Jul-21,11.5,2021
379,Aug-21,11.5,2021
380,Sep-21,11.5,2021
381,Oct-21,11.5,2021
382,Nov-21,11.5,2021
383,Dec-21,11.5,2021
384,Jan-22,11.5,2022
385,Feb-22,11.5,2022
386,Mar-22,11.5,2022
387,Apr-22,11.5,2022
388,May-22,13.0,2022
389,Jun-22,13.0,2022
390,Jul-22,14.0,2022
391,Aug-22,14.0,2022
392,Sep-22,15.5,2022
393,Oct-22,15.5,2022
394,Nov-22,16.5,2022
395,Dec-22,16.5,2022
396,Jan-23,17.5,2023
397,Feb-23,17.5,2023
398,Mar-23,18.0,2023
399,Apr-23,18.0,2023
400,May-23,18.5,2023
401,Jun-23,18.5,2023
402,Jul-23,18.75,2023
403,Aug-23,18.75,2023
404,Sep-23,18.75,2023
405,Oct-23,18.75,2023
406,Nov-23,18.75,2023
407,Dec-23,18.75,2023
408,Jan-24,18.75,2024
409,Feb-24,22.75,2024
410,Mar-24,24.75,2024
411,Apr-24,24.75,2024
412,May-24,26.25,2024
413,Jun-24,26.25,2024

Metadata: This file was processed on 2024-06-18 13:47:38.419258